# d = 1, rhop = 1, e = 0.9, mu = 0.5, K = 10^8, shear rate = 1
# nu  p      s      T       I
0.010 1.8792 0.9958 181.5638 0.7295
0.050 0.4631 0.2395 7.6370 1.4694
0.100 0.3295 0.1707 2.1961 1.7420
0.200 0.3706 0.1985 0.7820 1.6427
0.300 0.6034 0.3329 0.5059 1.2874
0.400 1.2428 0.7237 0.3886 0.8970
0.500 3.8493 2.2211 0.3324 0.5097
0.500 3.9459 2.2848 0.3349 0.5034
0.520 5.6844 3.2211 0.3278 0.4194
0.540 9.8420 5.3331 0.3283 0.3188
0.550 14.5159 7.5707 0.3376 0.2625
0.560 26.4104 13.2325 0.3724 0.1946
0.570 65.2384 30.1712 0.4471 0.1238
0.578 208.5867 89.4303 0.6096 0.0692
0.584 999.5046 396.7497 0.9351 0.0316
