# d = 1, rhop = 1, e = 0.99, mu = 0.5, K = 10^8, shear rate = 1
# nu  p      s      T       I
0.010 3.1492 1.4754 304.1919 0.5635
0.050 0.8035 0.3607 13.1636 1.1156
0.100 0.5724 0.2523 3.7649 1.3218
0.200 0.6375 0.2838 1.3011 1.2525
0.300 1.0392 0.4867 0.8340 0.9810
0.400 2.1400 1.0420 0.6784 0.6836
0.500 5.7323 2.8794 0.5636 0.4177
0.500 6.1815 3.0457 0.5948 0.4022
0.520 8.3557 4.1366 0.5635 0.3459
0.540 12.7523 6.2498 0.5348 0.2800
0.550 17.0275 8.2770 0.5161 0.2423
0.560 24.8344 11.8514 0.5010 0.2007
0.570 51.5213 23.7317 0.5031 0.1393
0.578 190.8256 82.1218 0.6122 0.0724
0.584 1028.0069 406.3901 0.9267 0.0312
