# d = 1, rhop = 1, e = 0.7, mu = 0, K = 10^6, shear rate = 1
# nu  p      s      T       I    CN       k
0.200 0.2410 0.1107 0.5428 2.0370 0.00549 1e6
0.250 0.2853 0.1272 0.3933 1.8722 0.00746 1e6
0.300 0.3480 0.1587 0.3146 1.6952 0.00948 1e6
0.350 0.4878 0.2207 0.2724 1.4318 0.01330 1e6
0.400 0.7010 0.3284 0.2522 1.1944 0.01899 1e6
0.450 1.0541 0.5043 0.2469 0.9740 0.02830 1e6
0.500 1.8351 0.8360 0.2495 0.7382 0.05156 1e6
0.520 2.4591 1.0614 0.2596 0.6377 0.07175 1e6
0.540 3.5396 1.4642 0.2789 0.5315 0.10851 1e6
0.560 5.7662 2.2874 0.3178 0.4164 0.18755 1e6
0.580 12.0553 4.2149 0.4138 0.2880 0.40966 1e6
0.600 41.4810 12.1376 0.7013 0.1553 1.14861 1e6
0.605 65.2532 17.7116 0.8754 0.1238 1.53495 1e6
0.610 106.8761 27.0379 1.1209 0.0967 2.00126 1e6
0.615 197.3026 46.0469 1.5234 0.0712 2.63173 1e6
0.620 391.9766 84.0071 2.2085 0.0505 3.35825 1e6
0.625 803.4422 154.9648 3.3119 0.0353 4.09712 1e6
0.630 1585.1293 279.0680 4.9808 0.0251 4.76939 1e6
0.634 2403.2014 399.0280 6.2896 0.0204 5.16417 1e6
0.635 2684.4439 437.3348 6.8857 0.0193 5.25828 1e6
0.636 2926.6346 475.0408 7.1499 0.0185 5.34884 1e6
0.638 3560.0182 547.8732 8.0441 0.0168 5.53009 1e6
0.640 4123.1816 634.9391 8.8505 0.0156 5.66042 1e6
0.650 7370.2957 1037.4491 12.4558 0.0116 6.26104 1e6
0.660 11680.4026 1483.6087 15.9024 0.0093 6.71667 1e6
0.670 16435.4528 1964.2862 18.5023 0.0078 7.07634 1e6
0.680 21702.6785 2401.3956 21.7501 0.0068 7.37936 1e6
