# d = 1, rhop = 1, e = 0.7, mu = 0, K = 10^3, shear rate = 1
# nu  p      s      T       I    CN       k
0.200 0.2349 0.1031 0.5558 2.0631 0.16638 1e3
0.250 0.2656 0.1172 0.3949 1.9404 0.20949 1e3
0.300 0.3314 0.1485 0.3150 1.7370 0.27337 1e3
0.350 0.4452 0.2001 0.2756 1.4988 0.36906 1e3
0.400 0.6428 0.2856 0.2583 1.2473 0.51907 1e3
0.450 1.0233 0.4439 0.2657 0.9886 0.78382 1e3
0.500 1.8391 0.7497 0.2939 0.7374 1.26200 1e3
0.520 2.4576 0.9661 0.3198 0.6379 1.56877 1e3
0.540 3.4375 1.2813 0.3595 0.5394 1.98153 1e3
0.560 4.9812 1.7262 0.4151 0.4481 2.50619 1e3
0.580 7.4457 2.3820 0.4903 0.3665 3.14033 1e3
0.600 11.1400 3.2607 0.5805 0.2996 3.82947 1e3
0.620 16.3268 4.3716 0.6818 0.2475 4.51889 1e3
0.630 19.5291 4.9892 0.7320 0.2263 4.85368 1e3
0.634 20.8933 5.2644 0.7526 0.2188 4.97905 1e3
0.636 21.6037 5.3884 0.7630 0.2151 5.04528 1e3
0.638 22.3256 5.5384 0.7724 0.2116 5.10196 1e3
0.640 23.0788 5.6427 0.7875 0.2082 5.16330 1e3
0.650 26.5925 6.3159 0.8306 0.1939 5.47834 1e3
0.660 31.2062 7.0495 0.8783 0.1790 5.75001 1e3
0.670 35.3895 7.7858 0.9188 0.1681 6.04456 1e3
0.680 40.6932 8.5892 0.9590 0.1568 6.27415 1e3
# d = 1, rhop = 1, e = 0.7, mu = 0, K = 10^4, shear rate = 1
# nu  p      s      T       I    CN       k
0.200 0.2392 0.1067 0.5505 2.0446 0.05481 1e4
0.250 0.2763 0.1222 0.3939 1.9025 0.07024 1e4
0.300 0.3486 0.1589 0.3155 1.6936 0.09202 1e4
0.350 0.4659 0.2158 0.2756 1.4651 0.12447 1e4
0.400 0.6764 0.3091 0.2548 1.2159 0.18005 1e4
0.450 1.0609 0.4718 0.2550 0.9709 0.27968 1e4
0.500 1.9115 0.8264 0.2705 0.7233 0.48668 1e4
0.520 2.6155 1.0883 0.2919 0.6183 0.64798 1e4
0.540 3.8313 1.5201 0.3287 0.5109 0.90310 1e4
0.560 6.4380 2.3430 0.3998 0.3941 1.35244 1e4
0.580 12.5239 4.0910 0.5366 0.2826 2.09678 1e4
0.600 28.1973 7.8644 0.8029 0.1883 3.18798 1e4
0.620 63.3957 15.0286 1.2195 0.1256 4.36644 1e4
0.630 90.0350 19.7450 1.4567 0.1054 4.89157 1e4
0.634 102.6665 22.1215 1.5530 0.0987 5.08538 1e4
0.636 109.1795 23.2868 1.6082 0.0957 5.17892 1e4
0.638 116.0840 24.1407 1.6511 0.0928 5.27276 1e4
0.640 122.7692 25.1981 1.7059 0.0903 5.35551 1e4
0.650 157.3431 30.5828 1.9246 0.0797 5.78214 1e4
0.660 203.5111 37.0241 2.1480 0.0701 6.13389 1e4
0.670 245.8255 43.1245 2.3495 0.0638 6.48583 1e4
0.680 300.9641 49.5472 2.5213 0.0576 6.75679 1e4
# d = 1, rhop = 1, e = 0.7, mu = 0, K = 10^5, shear rate = 1
# nu  p      s      T       I    CN       k
0.200 0.2414 0.1086 0.5436 2.0352 0.01775 1e5
0.250 0.2786 0.1264 0.3929 1.8947 0.02259 1e5
0.300 0.3520 0.1612 0.3146 1.6856 0.02967 1e5
0.350 0.4777 0.2199 0.2731 1.4469 0.04076 1e5
0.400 0.6856 0.3182 0.2527 1.2078 0.05872 1e5
0.450 1.0818 0.4920 0.2490 0.9614 0.09304 1e5
0.500 1.8649 0.8247 0.2556 0.7323 0.16258 1e5
0.520 2.5136 1.0710 0.2686 0.6307 0.22198 1e5
0.540 3.6570 1.5021 0.2932 0.5229 0.32683 1e5
0.560 6.0859 2.3548 0.3444 0.4054 0.54106 1e5
0.580 12.7847 4.3759 0.4626 0.2797 1.02121 1e5
0.600 40.4638 11.4633 0.7955 0.1572 2.13945 1e5
0.620 196.7884 43.2622 1.8672 0.0713 4.02355 1e5
0.630 396.3241 77.2438 2.7887 0.0502 4.85616 1e5
0.634 495.1846 92.0309 3.1637 0.0449 5.06566 1e5
0.636 555.9234 101.2600 3.3619 0.0424 5.22265 1e5
0.638 629.9203 113.0514 3.6141 0.0398 5.41120 1e5
0.640 693.9792 122.5251 3.8207 0.0380 5.52333 1e5
0.650 1026.9265 166.6702 4.7180 0.0312 6.04736 1e5
0.660 1487.2869 222.8077 5.6821 0.0259 6.44743 1e5
0.670 1920.3931 273.2703 6.3387 0.0228 6.84273 1e5
0.680 2436.4139 327.3878 7.0045 0.0203 7.15565 1e5
# d = 1, rhop = 1, e = 0.7, mu = 0, K = 10^6, shear rate = 1
# nu  p      s      T       I    CN       k
0.200 0.2410 0.1107 0.5428 2.0370 0.00549 1e6
0.250 0.2853 0.1272 0.3933 1.8722 0.00746 1e6
0.300 0.3480 0.1587 0.3146 1.6952 0.00948 1e6
0.350 0.4878 0.2207 0.2724 1.4318 0.01330 1e6
0.400 0.7010 0.3284 0.2522 1.1944 0.01899 1e6
0.450 1.0541 0.5043 0.2469 0.9740 0.02830 1e6
0.500 1.8351 0.8360 0.2495 0.7382 0.05156 1e6
0.520 2.4591 1.0614 0.2596 0.6377 0.07175 1e6
0.540 3.5396 1.4642 0.2789 0.5315 0.10851 1e6
0.560 5.7662 2.2874 0.3178 0.4164 0.18755 1e6
0.580 12.0553 4.2149 0.4138 0.2880 0.40966 1e6
0.600 41.4810 12.1376 0.7013 0.1553 1.14861 1e6
0.605 65.2532 17.7116 0.8754 0.1238 1.53495 1e6
0.610 106.8761 27.0379 1.1209 0.0967 2.00126 1e6
0.615 197.3026 46.0469 1.5234 0.0712 2.63173 1e6
0.620 391.9766 84.0071 2.2085 0.0505 3.35825 1e6
0.625 803.4422 154.9648 3.3119 0.0353 4.09712 1e6
0.630 1585.1293 279.0680 4.9808 0.0251 4.76939 1e6
0.634 2403.2014 399.0280 6.2896 0.0204 5.16417 1e6
0.635 2684.4439 437.3348 6.8857 0.0193 5.25828 1e6
0.636 2926.6346 475.0408 7.1499 0.0185 5.34884 1e6
0.638 3560.0182 547.8732 8.0441 0.0168 5.53009 1e6
0.640 4123.1816 634.9391 8.8505 0.0156 5.66042 1e6
0.650 7370.2957 1037.4491 12.4558 0.0116 6.26104
0.660 11680.4026 1483.6087 15.9024 0.0093 6.71667
0.670 16435.4528 1964.2862 18.5023 0.0078 7.07634
0.680 21702.6785 2401.3956 21.7501 0.0068 7.37936
# d = 1, rhop = 1, e = 0.7, mu = 0, K = 10^7, shear rate = 1
# nu  p      s      T       I    CN       k
0.200 0.2426 0.1022 0.5455 2.0303 0.00177 1e7
0.250 0.2833 0.1282 0.3921 1.8786 0.00229 1e7
0.300 0.3405 0.1581 0.3149 1.7137 0.00282 1e7
0.350 0.4654 0.2056 0.2738 1.4659 0.00398 1e7
0.400 0.6995 0.3313 0.2508 1.1957 0.00590 1e7
0.450 1.1204 0.5010 0.2453 0.9448 0.01007 1e7
0.500 1.8402 0.8394 0.2485 0.7372 0.01707 1e7
